"ID","Name","Published Date","Video Views","Engagement Score","Video Percent Viewed" 
"5827618308001","Commercial Transformation","2018-08-28T05:56:14.268Z","0","0","0"
"5827830236001","Blockchain and the future of audit","2018-08-28T15:24:39.483Z","1","0","0"
"5827848643001","Cycle 3_Module 1_28 August 2018","2018-08-28T15:47:52.947Z","1","2.07","2.07"
"5827868466001","Cycle 3_Module 1_28 August 2018","2018-08-28T16:28:55.370Z","0","0","0"
"5828229831001","4822_EY_Cities_1920x1080","2018-08-29T11:31:45.281Z","0","0","0"
"5828233111001","4822_EY_Consumer_Edit_v21_VR","2018-08-29T11:35:40.207Z","0","0","0"
"5828605217001","Citizen Intelligence solution","2018-08-30T06:31:33.194Z","2","98.28","196.57"
"5828799995001"," 1805-2709976 Assurance Real Estate Analytics Implementation Video_v5","2018-08-30T13:54:26.594Z","0","0","0"
"5828896019001","DI FY19 Priorities Ian McNeil","2018-08-30T17:28:56.291Z","0","0","0"
"5828949983001","D&I FY19 Priorities – Ian McNeil","2018-08-30T19:56:03.568Z","1","29.56","29.56"
"5829228523001","Logistics Analytics Suite video","2018-08-31T09:50:05.237Z","0","0","0"
"5829319727001","Big Data – big risk or big opportunity?","2018-08-31T14:07:18.553Z","1","0","0"
"5829356638001","Cycle 3_Module 2_31 August 2018","2018-08-31T15:25:49.439Z","0","0","0"
"5830185387001","PTT Q2 2018 - Overview video_Miles Huq","2018-09-03T10:58:22.169Z","4","55.5","222.01"
"5830212506001","Global mobility – Good for business, good for your career","2018-09-03T12:31:13.423Z","0","0","0"
"5830599179001","CMS training_PR UK team_Session-1_4 Sept2018","2018-09-04T14:18:49.032Z","0","0","0"
"5830646651001","Cyle 4_Module 1_4 Sept 2018","2018-09-04T16:01:46.624Z","0","0","0"
"5831093111001","Cycle 3_Module 3_5 Sept 2018","2018-09-05T15:56:52.995Z","0","0","0"
"5831379972001","Engaging customers in the digital era","2018-09-06T05:52:03.984Z","1","4.55","4.55"
